"linkid","name","recurses"
"1","hypernym","Y"
"2","hyponym","Y"
"3","instance hypernym","Y"
"4","instance hyponym","Y"
"11","part holonym","Y"
"12","part meronym","Y"
"13","member holonym","Y"
"14","member meronym","Y"
"15","substance holonym","Y"
"16","substance meronym","Y"
"21","entail","Y"
"23","cause","Y"
"30","antonym","N"
"40","similar","N"
"50","also","N"
"60","attribute","N"
"70","verb group","N"
"71","participle","N"
"80","pertainym","N"
"81","derivation","N"
"91","domain category","N"
"92","domain member category","N"
"93","domain region","N"
"94","domain member region","N"
"95","domain usage","N"
"96","domain member usage","N"
"97","domain","N"
"98","member","N"
