"1","+","animate"
"2","+","organization"
"3","+","communication"
"4","+","machine"
"5","+","concrete"
"6","+","abstract"
"7","+","animal"
"8","+","location"
"9","-","region"
"10","+","int_control"
"11","+","solid"
"12","+","currency"
"13","+","refl"
"14","+","body_part"
"15","+","scalar"
"16","+","comestible"
"17","-","solid"
"18","+","nonrigid"
"19","+","elongated"
"20","+","time"
"21","+","vehicle"
"22","-","location"
"23","+","plural"
"24","+","human"
"25","-","animate"
"26","+","pointy"
"27","+","substance"
"28","+","garment"
"29","+","sound"
"30","+","force"
